f0_,station,f1_,f2_
2020-04-13,MSNBC,4173,covid
2020-04-13,KNTV,48,covid
2020-04-13,BBCNEWS,3694,covid
2020-04-14,CNN,1423,covid
2020-04-14,BBCNEWS,5323,covid
2020-04-14,KNTV,73,covid
2020-04-14,KPIX,61,covid
2020-04-14,MSNBC,5236,covid
2020-04-14,KGO,65,covid
2020-04-14,FOXNEWS,15108,covid
2020-04-15,MSNBC,4389,covid
2020-04-15,KNTV,117,covid
2020-04-15,KPIX,57,covid
2020-04-15,KGO,13,covid
2020-04-15,FOXNEWS,9329,covid
2020-04-15,BBCNEWS,6173,covid
2020-04-15,CNN,2590,covid
2020-04-16,CNN,2971,covid
2020-04-16,KGO,40,covid
2020-04-16,FOXNEWS,11429,covid
2020-04-16,KNTV,40,covid
2020-04-16,MSNBC,8263,covid
2020-04-16,KPIX,35,covid
2020-04-16,BBCNEWS,5381,covid
2020-04-17,KGO,172,covid
2020-04-17,CNN,4124,covid
2020-04-17,KPIX,84,covid
2020-04-17,FOXNEWS,10841,covid
2020-04-17,BBCNEWS,12317,covid
2020-04-17,MSNBC,9631,covid
2020-04-17,KNTV,40,covid
2020-04-18,CNN,35924,covid
2020-04-18,MSNBC,8971,covid
2020-04-18,BBCNEWS,6027,covid
2020-04-18,FOXNEWS,9774,covid
2020-04-18,KPIX,81,covid
2020-04-18,KNTV,137,covid
2020-04-19,BBCNEWS,2439,covid
2020-04-19,MSNBC,7865,covid
2020-04-19,KPIX,174,covid
2020-04-19,FOXNEWS,7421,covid
2020-04-19,CNN,13057,covid
2020-04-19,KGO,146,covid
2020-04-19,KNTV,116,covid
2020-04-20,FOXNEWS,12744,covid
2020-04-20,KGO,107,covid
2020-04-20,KPIX,140,covid
2020-04-20,CNN,3064,covid
2020-04-20,KNTV,39,covid
2020-04-20,MSNBC,4005,covid
2020-04-20,BBCNEWS,14583,covid
2020-04-21,CNN,2382,covid
2020-04-21,KGO,44,covid
2020-04-21,BBCNEWS,14226,covid
2020-04-21,MSNBC,6514,covid
2020-04-21,KPIX,105,covid
2020-04-21,FOXNEWS,7298,covid
2020-04-21,KNTV,97,covid
2020-04-22,KPIX,105,covid
2020-04-22,BBCNEWS,9274,covid
2020-04-22,FOXNEWS,10877,covid
2020-04-22,KNTV,201,covid
2020-04-22,KGO,83,covid
2020-04-22,CNN,6224,covid
2020-04-22,MSNBC,6779,covid
2020-04-23,KNTV,122,covid
2020-04-23,CNN,2892,covid
2020-04-23,BBCNEWS,15323,covid
2020-04-23,KGO,40,covid
2020-04-23,KPIX,103,covid
2020-04-23,MSNBC,7565,covid
2020-04-23,FOXNEWS,9857,covid
2020-04-24,MSNBC,16098,covid
2020-04-24,KGO,11,covid
2020-04-24,CNN,4227,covid
2020-04-24,KPIX,137,covid
2020-04-24,FOXNEWS,7370,covid
2020-04-24,KNTV,44,covid
2020-04-24,BBCNEWS,7112,covid
2020-04-25,KNTV,42,covid
2020-04-25,FOXNEWS,6894,covid
2020-04-25,MSNBC,7020,covid
2020-04-25,CNN,11160,covid
2020-04-25,BBCNEWS,2984,covid
2020-04-25,KPIX,84,covid
2020-04-26,MSNBC,6415,covid
2020-04-26,KPIX,329,covid
2020-04-26,BBCNEWS,3543,covid
2020-04-26,CNN,9658,covid
2020-04-26,KGO,16,covid
2020-04-26,FOXNEWS,5643,covid
2020-04-27,FOXNEWS,6824,covid
2020-04-27,KPIX,160,covid
2020-04-27,KNTV,15,covid
2020-04-27,KGO,87,covid
2020-04-27,CNN,5082,covid
2020-04-27,BBCNEWS,1701,covid
2020-04-27,MSNBC,8021,covid
2020-04-28,MSNBC,8135,covid
2020-04-28,KPIX,109,covid
2020-04-28,BBCNEWS,5543,covid
2020-04-28,FOXNEWS,8378,covid
2020-04-28,KGO,43,covid
2020-04-28,CNN,1397,covid
2020-04-28,KNTV,132,covid
2020-04-29,MSNBC,6819,covid
2020-04-29,FOXNEWS,8665,covid
2020-04-29,BBCNEWS,13519,covid
2020-04-29,KNTV,21,covid
