f0_,station,f1_,f2_
2020-05-09,FOXNEWS,14,delta
2020-05-10,MSNBC,4,delta
2020-05-10,CNN,12,delta
2020-05-10,FOXNEWS,14,delta
2020-05-11,FOXNEWS,26,delta
2020-05-11,CNN,34,delta
2020-05-12,MSNBC,6,delta
2020-05-12,FOXNEWS,4,delta
2020-05-13,FOXNEWS,139,delta
2020-05-13,KGO,6,delta
2020-05-13,MSNBC,49,delta
2020-05-13,CNN,42,delta
2020-05-14,FOXNEWS,2,delta
2020-05-14,CNN,321,delta
2020-05-15,FOXNEWS,37,delta
2020-05-15,MSNBC,1,delta
2020-05-15,CNN,227,delta
2020-05-16,MSNBC,4,delta
2020-05-16,CNN,19,delta
2020-05-17,FOXNEWS,8,delta
2020-05-17,MSNBC,3,delta
2020-05-18,FOXNEWS,6,delta
2020-05-19,MSNBC,2,delta
2020-05-19,FOXNEWS,138,delta
2020-05-20,MSNBC,16,delta
2020-05-20,KGO,4,delta
2020-05-20,CNN,30,delta
2020-05-20,FOXNEWS,45,delta
2020-05-21,MSNBC,5,delta
2020-05-21,KNTV,4,delta
2020-05-21,CNN,1,delta
2020-05-21,KPIX,8,delta
2020-05-22,FOXNEWS,1,delta
2020-05-22,CNN,48,delta
2020-05-22,MSNBC,5,delta
2020-05-23,CNN,54,delta
2020-05-23,FOXNEWS,1,delta
2020-05-23,BBCNEWS,3,delta
2020-05-24,BBCNEWS,1,delta
2020-05-24,MSNBC,1,delta
2020-05-24,FOXNEWS,1,delta
2020-05-25,FOXNEWS,2,delta
2020-05-25,CNN,2,delta
2020-05-26,BBCNEWS,3,delta
2020-05-26,CNN,1,delta
2020-05-26,FOXNEWS,1,delta
2020-05-26,MSNBC,10,delta
2020-05-27,BBCNEWS,6,delta
2020-05-27,MSNBC,1,delta
2020-05-28,FOXNEWS,5,delta
2020-05-28,CNN,90,delta
2020-05-29,KPIX,5,delta
2020-05-29,MSNBC,3,delta
2020-05-31,MSNBC,13,delta
2020-05-31,CNN,1,delta
2020-06-03,FOXNEWS,175,delta
2020-06-03,CNN,76,delta
2020-06-04,CNN,23,delta
2020-06-04,FOXNEWS,373,delta
2020-06-05,BBCNEWS,5,delta
2020-06-05,KNTV,1,delta
2020-06-05,CNN,20,delta
2020-06-05,MSNBC,3,delta
2020-06-05,FOXNEWS,183,delta
2020-06-06,MSNBC,11,delta
2020-06-06,FOXNEWS,115,delta
2020-06-06,CNN,20,delta
2020-06-08,MSNBC,1,delta
2020-06-08,FOXNEWS,9,delta
2020-06-10,BBCNEWS,2,delta
2020-06-11,FOXNEWS,10,delta
2020-06-12,FOXNEWS,7,delta
2020-06-12,BBCNEWS,65,delta
2020-06-13,CNN,2,delta
2020-06-14,CNN,1,delta
2020-06-14,BBCNEWS,2,delta
2020-06-14,MSNBC,2,delta
2020-06-15,CNN,13,delta
2020-06-16,CNN,93,delta
2020-06-16,MSNBC,6,delta
2020-06-16,BBCNEWS,1,delta
2020-06-16,FOXNEWS,93,delta
2020-06-17,KPIX,2,delta
2020-06-17,CNN,17,delta
2020-06-17,FOXNEWS,63,delta
2020-06-18,FOXNEWS,22,delta
2020-06-19,BBCNEWS,1,delta
2020-06-21,KPIX,54,delta
2020-06-23,FOXNEWS,1,delta
2020-06-23,CNN,4,delta
2020-06-23,MSNBC,2,delta
2020-06-24,CNN,28,delta
2020-06-24,FOXNEWS,1,delta
