f0_,station,f1_,f2_
2020-06-22,MSNBC,42,Facemask
2020-06-22,BBCNEWS,5,Facemask
2020-06-22,CNN,41,Facemask
2020-06-22,FOXNEWS,51,Facemask
2020-06-22,KNTV,109,Facemask
2020-06-23,CNN,177,Facemask
2020-06-23,FOXNEWS,31,Facemask
2020-06-23,MSNBC,284,Facemask
2020-06-23,BBCNEWS,88,Facemask
2020-06-24,CNN,183,Facemask
2020-06-24,FOXNEWS,82,Facemask
2020-06-24,MSNBC,89,Facemask
2020-06-24,KNTV,2,Facemask
2020-06-24,BBCNEWS,157,Facemask
2020-06-25,BBCNEWS,4,Facemask
2020-06-25,KNTV,2,Facemask
2020-06-25,MSNBC,134,Facemask
2020-06-25,FOXNEWS,29,Facemask
2020-06-25,CNN,271,Facemask
2020-06-26,CNN,1132,Facemask
2020-06-26,KPIX,64,Facemask
2020-06-26,FOXNEWS,224,Facemask
2020-06-26,MSNBC,94,Facemask
2020-06-27,CNN,379,Facemask
2020-06-27,BBCNEWS,33,Facemask
2020-06-27,FOXNEWS,591,Facemask
2020-06-27,MSNBC,100,Facemask
2020-06-28,FOXNEWS,55,Facemask
2020-06-28,KGO,1,Facemask
2020-06-28,CNN,103,Facemask
2020-06-28,MSNBC,3,Facemask
2020-06-28,BBCNEWS,1,Facemask
2020-06-29,KGO,1,Facemask
2020-06-29,BBCNEWS,64,Facemask
2020-06-29,MSNBC,46,Facemask
2020-06-29,CNN,467,Facemask
2020-06-29,FOXNEWS,430,Facemask
2020-06-29,KPIX,4,Facemask
2020-06-30,MSNBC,299,Facemask
2020-06-30,FOXNEWS,166,Facemask
2020-06-30,BBCNEWS,18,Facemask
2020-06-30,CNN,524,Facemask
2020-07-01,MSNBC,206,Facemask
2020-07-01,FOXNEWS,51,Facemask
2020-07-01,BBCNEWS,4,Facemask
2020-07-01,KGO,3,Facemask
2020-07-01,CNN,85,Facemask
2020-07-02,MSNBC,386,Facemask
2020-07-02,FOXNEWS,121,Facemask
2020-07-02,BBCNEWS,5,Facemask
2020-07-02,KGO,4,Facemask
2020-07-02,CNN,213,Facemask
2020-07-02,KPIX,22,Facemask
2020-07-02,KNTV,11,Facemask
2020-07-03,MSNBC,1595,Facemask
2020-07-03,FOXNEWS,177,Facemask
2020-07-03,CNN,185,Facemask
2020-07-03,BBCNEWS,251,Facemask
2020-07-04,BBCNEWS,160,Facemask
2020-07-04,FOXNEWS,9,Facemask
2020-07-04,CNN,363,Facemask
2020-07-04,MSNBC,462,Facemask
2020-07-05,BBCNEWS,170,Facemask
2020-07-05,MSNBC,583,Facemask
2020-07-05,CNN,22,Facemask
2020-07-05,FOXNEWS,19,Facemask
2020-07-06,MSNBC,34,Facemask
2020-07-06,FOXNEWS,187,Facemask
2020-07-06,CNN,9,Facemask
2020-07-06,BBCNEWS,3,Facemask
2020-07-07,CNN,16,Facemask
2020-07-07,FOXNEWS,57,Facemask
2020-07-07,BBCNEWS,170,Facemask
2020-07-07,MSNBC,84,Facemask
2020-07-08,MSNBC,182,Facemask
2020-07-08,FOXNEWS,39,Facemask
2020-07-08,BBCNEWS,62,Facemask
2020-07-08,CNN,223,Facemask
2020-07-09,CNN,358,Facemask
2020-07-09,BBCNEWS,77,Facemask
2020-07-09,KNTV,2,Facemask
2020-07-09,FOXNEWS,58,Facemask
2020-07-09,MSNBC,366,Facemask
2020-07-10,FOXNEWS,70,Facemask
2020-07-10,BBCNEWS,84,Facemask
2020-07-10,MSNBC,467,Facemask
2020-07-10,CNN,215,Facemask
2020-07-11,KNTV,2,Facemask
2020-07-11,BBCNEWS,19,Facemask
2020-07-11,CNN,789,Facemask
2020-07-11,MSNBC,25,Facemask
2020-07-11,FOXNEWS,520,Facemask
2020-07-12,MSNBC,128,Facemask
2020-07-12,CNN,865,Facemask
2020-07-12,FOXNEWS,422,Facemask
2020-07-12,BBCNEWS,2161,Facemask
2020-07-13,FOXNEWS,58,Facemask
2020-07-13,MSNBC,227,Facemask
2020-07-13,CNN,376,Facemask
2020-07-13,BBCNEWS,190,Facemask
2020-07-14,KNTV,1,Facemask
2020-07-14,CNN,162,Facemask
2020-07-14,BBCNEWS,407,Facemask
2020-07-14,MSNBC,209,Facemask
2020-07-14,FOXNEWS,38,Facemask
2020-07-15,MSNBC,209,Facemask
2020-07-15,CNN,268,Facemask
2020-07-15,BBCNEWS,88,Facemask
2020-07-15,FOXNEWS,121,Facemask
2020-07-16,BBCNEWS,12,Facemask
2020-07-16,CNN,188,Facemask
2020-07-16,KNTV,4,Facemask
2020-07-16,FOXNEWS,262,Facemask
2020-07-16,MSNBC,449,Facemask
2020-07-17,MSNBC,258,Facemask
2020-07-17,CNN,373,Facemask
2020-07-17,FOXNEWS,21,Facemask
2020-07-17,KGO,2,Facemask
2020-07-17,KNTV,2,Facemask
2020-07-17,BBCNEWS,44,Facemask
2020-07-18,BBCNEWS,37,Facemask
2020-07-18,KPIX,34,Facemask
2020-07-18,FOXNEWS,19,Facemask
2020-07-18,CNN,80,Facemask
2020-07-18,MSNBC,64,Facemask
2020-07-19,FOXNEWS,115,Facemask
2020-07-19,BBCNEWS,23,Facemask
2020-07-19,KGO,2,Facemask
2020-07-19,CNN,16,Facemask
2020-07-19,MSNBC,24,Facemask
2020-07-20,KGO,11,Facemask
2020-07-20,FOXNEWS,140,Facemask
2020-07-20,BBCNEWS,267,Facemask
2020-07-20,CNN,680,Facemask
2020-07-20,MSNBC,147,Facemask
2020-07-21,KNTV,111,Facemask
2020-07-21,MSNBC,497,Facemask
2020-07-21,CNN,428,Facemask
2020-07-21,FOXNEWS,547,Facemask
2020-07-21,BBCNEWS,131,Facemask
2020-07-21,KPIX,12,Facemask
2020-07-22,CNN,314,Facemask
2020-07-22,MSNBC,252,Facemask
2020-07-22,KNTV,3,Facemask
2020-07-22,KPIX,6,Facemask
2020-07-22,FOXNEWS,87,Facemask
2020-07-22,BBCNEWS,16,Facemask
2020-07-23,BBCNEWS,88,Facemask
2020-07-23,MSNBC,273,Facemask
2020-07-23,CNN,31,Facemask
2020-07-23,FOXNEWS,85,Facemask
2020-07-24,CNN,686,Facemask
2020-07-24,MSNBC,92,Facemask
2020-07-24,BBCNEWS,20,Facemask
2020-07-24,FOXNEWS,36,Facemask
2020-07-25,BBCNEWS,28,Facemask
2020-07-25,MSNBC,104,Facemask
2020-07-25,FOXNEWS,5,Facemask
2020-07-25,KNTV,1,Facemask
2020-07-25,CNN,38,Facemask
2020-07-25,KPIX,4,Facemask
2020-07-26,FOXNEWS,4,Facemask
2020-07-26,BBCNEWS,9,Facemask
2020-07-26,CNN,16,Facemask
2020-07-27,FOXNEWS,5,Facemask
2020-07-27,CNN,20,Facemask
2020-07-27,MSNBC,108,Facemask
